surface,candidate_lemmas,wordnet_exact,parts_of_speech,default_action,reason
assembled,assemble,no,VBN|VBD|JJ,standalone,Past-tense form has an independent lexical role alongside assemble.
restructuring,restructure,no,NN|VBG|JJ,standalone,Participle has an independent lexical role alongside restructure.
terminals,terminal,no,,standalone,No supported inflection rule safely maps this word to terminal.
simulations,simulation,no,,standalone,No supported inflection rule safely maps this word to simulation.
strengthening,strengthen,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside strengthen.
configurations,configuration,no,,standalone,No supported inflection rule safely maps this word to configuration.
would,will,no,MD,standalone,No supported inflection rule safely maps this word to will.
services,service,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside service.
links,link,yes,NNS|VBZ|NN,standalone,WordNet records an independent sense alongside link.
years,year,yes,NNS,standalone,WordNet records an independent sense alongside year.
could,can,no,MD,standalone,No supported inflection rule safely maps this word to can.
united,unite,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside unite.
details,detail,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside detail.
terms,term,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside term.
using,use,yes,VBG,standalone,WordNet records an independent sense alongside use.
posted,post,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside post.
shipping,ship,yes,VBG|NN,standalone,WordNet records an independent sense alongside ship.
reserved,reserve,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside reserve.
based,base,yes,VBN|VBD,standalone,WordNet records an independent sense alongside base.
found,find,yes,VBD|VBN|VB,standalone,WordNet records an independent sense alongside find.
related,relate,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside relate.
media,medium,no,NNS|NN,standalone,Plural form has an independent lexical role alongside medium.
rating,rat,yes,NN|VBG,standalone,WordNet records an independent sense alongside rat.
shopping,shop,yes,NN|JJ|VBG,standalone,WordNet records an independent sense alongside shop.
times,time,yes,NNS|VBZ|CC|RB,standalone,WordNet records an independent sense alongside time.
hours,hour,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside hour.
listing,list,yes,NN|VBG,standalone,WordNet records an independent sense alongside list.
training,train,yes,NN|VBG|JJ,standalone,WordNet records an independent sense alongside train.
advanced,advance,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside advance.
sales,sale,yes,NNS|JJ|VBZ,standalone,WordNet records an independent sense alongside sale.
windows,window,yes,NNS,standalone,WordNet records an independent sense alongside window.
required,require,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside require.
better,good,yes,JJR|JJ|RB|VB|RBR,standalone,WordNet records an independent sense alongside good.
going,go,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside go.
looking,look,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside look.
things,thing,yes,NNS,standalone,WordNet records an independent sense alongside thing.
working,work,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside work.
offers,offer,no,VBZ|NNS|NN,standalone,Plural form has an independent lexical role alongside offer.
rates,rate,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside rate.
latest,late,yes,JJS|JJ,standalone,WordNet records an independent sense alongside late.
given,give,yes,VBN|JJ,standalone,WordNet records an independent sense alongside give.
making,make,yes,VBG|NN,standalone,WordNet records an independent sense alongside make.
needs,need,yes,VBZ|NNS|VBP|VB,standalone,WordNet records an independent sense alongside need.
might,may,yes,MD|NN,standalone,WordNet records an independent sense alongside may.
cards,card,yes,NNS,standalone,WordNet records an independent sense alongside card.
meeting,meet,yes,NN|VBG,standalone,WordNet records an independent sense alongside meet.
added,add,no,VBD|JJ|VBN,standalone,Past-tense form has an independent lexical role alongside add.
listed,list,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside list.
learning,learn,yes,VBG|NN,standalone,WordNet records an independent sense alongside learn.
updated,update,no,VBN|JJ,standalone,Past-tense form has an independent lexical role alongside update.
living,live,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside live.
called,call,no,VBN|VBD|VB,standalone,Past-tense form has an independent lexical role alongside call.
limited,limit,yes,JJ|VBD|VBN,standalone,WordNet records an independent sense alongside limit.
powered,power,yes,VBN|JJ,standalone,WordNet records an independent sense alongside power.
means,mean,yes,VBZ|NNS|NN,standalone,WordNet records an independent sense alongside mean.
planning,plan,yes,NN|VBG,standalone,WordNet records an independent sense alongside plan.
costs,cost,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside cost.
parts,part,yes,NNS,standalone,WordNet records an independent sense alongside part.
written,write,yes,VBN|JJ,standalone,WordNet records an independent sense alongside write.
minutes,minute,yes,NNS,standalone,WordNet records an independent sense alongside minute.
reading,read,yes,NN|VBG,standalone,WordNet records an independent sense alongside read.
getting,get,yes,VBG,standalone,WordNet records an independent sense alongside get.
lyrics,lyric,no,,standalone,No supported inflection rule safely maps this word to lyric.
included,include,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside include.
words,word,yes,NNS,standalone,WordNet records an independent sense alongside word.
james,jam,yes,,standalone,WordNet records an independent sense alongside jam.
received,receive,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside receive.
archives,archive,yes,,standalone,WordNet records an independent sense alongside archive.
makes,make,no,VBZ|NNS|NN,standalone,Plural form has an independent lexical role alongside make.
taken,take,yes,VBN|VBG,standalone,WordNet records an independent sense alongside take.
known,know,yes,VBN|JJ,standalone,WordNet records an independent sense alongside know.
later,late,yes,RB|JJ|RP|JJR|RBR,standalone,WordNet records an independent sense alongside late.
designed,design,yes,VBN|VBD,standalone,WordNet records an independent sense alongside design.
writing,write,yes,VBG|NN,standalone,WordNet records an independent sense alongside write.
higher,high,yes,JJR|RB|RBR,standalone,WordNet records an independent sense alongside high.
effects,effect,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside effect.
created,create,no,VBN|VBD|JJ,standalone,Past-tense form has an independent lexical role alongside create.
thought,think,yes,VBD|NN|VBN,standalone,WordNet records an independent sense alongside think.
shoes,shoe,yes,NNS,standalone,WordNet records an independent sense alongside shoe.
started,start,no,VBD|JJ|VBN|VB,standalone,Past-tense form has an independent lexical role alongside start.
needed,need,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside need.
asked,ask,no,VBD|VBN|JJ,standalone,Past-tense form has an independent lexical role alongside ask.
running,run,yes,VBG|JJ|NN|RB,standalone,WordNet records an independent sense alongside run.
lower,low,yes,JJR|RBR|VBP|JJ|RB|VB,standalone,WordNet records an independent sense alongside low.
clothing,clothe,yes,NN,standalone,WordNet records an independent sense alongside clothe.
names,name,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside name.
teens,teen,yes,NNS|NN,standalone,WordNet records an independent sense alongside teen.
sellers,seller,yes,NNS,standalone,WordNet records an independent sense alongside seller.
taking,take,yes,VBG|NN,standalone,WordNet records an independent sense alongside take.
values,value,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside value.
coming,come,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside come.
starting,start,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside start.
located,locate,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside locate.
featured,feature,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside feature.
rooms,room,yes,NNS,standalone,WordNet records an independent sense alongside room.
numbers,number,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside number.
wanted,want,yes,VBD|JJ|VBN,standalone,WordNet records an independent sense alongside want.
built,build,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside build.
larger,large,yes,JJR|RBR,standalone,WordNet records an independent sense alongside large.
wedding,wed,yes,NN,standalone,WordNet records an independent sense alongside wed.
ground,grind,yes,NN|JJ|VB|VBD|VBN,standalone,WordNet records an independent sense alongside grind.
involved,involve,yes,VBN|VBD|JJ|VB,standalone,WordNet records an independent sense alongside involve.
rated,rat,no,VBN|JJ|VBD,standalone,Past-tense form has an independent lexical role alongside rat.
existing,exist,yes,VBG|JJ,standalone,WordNet records an independent sense alongside exist.
selected,select,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside select.
warning,warn,yes,NN|VBG,standalone,WordNet records an independent sense alongside warn.
housing,house,yes,NN|VBG|JJ,standalone,WordNet records an independent sense alongside house.
trying,try,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside try.
joined,join,yes,VBD|VBN,standalone,WordNet records an independent sense alongside join.
teaching,teach,yes,NN|VBG,standalone,WordNet records an independent sense alongside teach.
testing,test,yes,NN|VBG,standalone,WordNet records an independent sense alongside test.
leading,lead,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside lead.
funds,fund,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside fund.
greater,great,yes,JJR|RBR,standalone,WordNet records an independent sense alongside great.
expected,expect,yes,VBN|VBD|JJ|VB,standalone,WordNet records an independent sense alongside expect.
dating,date,yes,VBG|NN,standalone,WordNet records an independent sense alongside date.
mailing,mail,yes,NN|VBG,standalone,WordNet records an independent sense alongside mail.
longer,long,yes,RB|JJR|RBR,standalone,WordNet records an independent sense alongside long.
buying,buy,yes,VBG|NN|JJ,standalone,WordNet records an independent sense alongside buy.
proposed,propose,no,VBN|VBD|VBP|JJ,standalone,Past-tense form has an independent lexical role alongside propose.
reported,report,yes,VBD|JJ|VB|VBN|VBP,standalone,WordNet records an independent sense alongside report.
boards,board,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside board.
modified,modify,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside modify.
detailed,detail,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside detail.
approved,approve,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside approve.
moving,move,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside move.
defined,define,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside define.
papers,paper,yes,NNS,standalone,WordNet records an independent sense alongside paper.
playing,play,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside play.
offered,offer,no,VBN|JJ|VBD,standalone,Past-tense form has an independent lexical role alongside offer.
fixed,fix,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside fix.
hands,hand,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside hand.
showing,show,yes,VBG|NN,standalone,WordNet records an independent sense alongside show.
funding,fund,yes,NN|VBG,standalone,WordNet records an independent sense alongside fund.
devices,device,yes,NNS,standalone,WordNet records an independent sense alongside device.
blogs,blog,no,,standalone,No supported inflection rule safely maps this word to blog.
accepted,accept,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside accept.
setting,set,yes,VBG|NN,standalone,WordNet records an independent sense alongside set.
highest,high,no,JJS|RB|RBS,standalone,Comparison form has an independent lexical role alongside high.
changed,change,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside change.
heard,hear,yes,VBN|VBD,standalone,WordNet records an independent sense alongside hear.
applied,apply,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside apply.
vegas,vega,no,,standalone,No supported inflection rule safely maps this word to vega.
allowed,allow,no,VBN|JJ|VB|VBD,standalone,Past-tense form has an independent lexical role alongside allow.
selling,sell,yes,VBG|NN|JJ,standalone,WordNet records an independent sense alongside sell.
older,old,yes,JJR|RBR|JJ,standalone,WordNet records an independent sense alongside old.
elements,element,yes,NNS,standalone,WordNet records an independent sense alongside element.
species,specie,yes,NN|NNS,standalone,WordNet records an independent sense alongside specie.
pricing,price,yes,NN|VBG,standalone,WordNet records an independent sense alongside price.
looks,look,no,VBZ|NNS|NN,standalone,Plural form has an independent lexical role alongside look.
trading,trade,yes,NN|JJ|VBG,standalone,WordNet records an independent sense alongside trade.
calls,call,no,VBZ|NNS|NN,standalone,Plural form has an independent lexical role alongside call.
giving,give,yes,VBG|NN,standalone,WordNet records an independent sense alongside give.
discuss,discus,yes,VB|VBP,standalone,WordNet records an independent sense alongside discus.
lowest,low,yes,JJS|JJ,standalone,WordNet records an independent sense alongside low.
lives,life|live,no,NNS|VBZ,target-excluded,"Ambiguous lemmas: life, live."
closed,close,yes,VBD|VBN|JJ|NN|VB,standalone,WordNet records an independent sense alongside close.
thinking,think,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside think.
fishing,fish,yes,NN|VBG|JJ,standalone,WordNet records an independent sense alongside fish.
fields,field,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside field.
letters,letter,yes,NNS,standalone,WordNet records an independent sense alongside letter.
websites,website,no,,standalone,No supported inflection rule safely maps this word to website.
driving,drive,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside drive.
kansas,kansa,yes,,standalone,WordNet records an independent sense alongside kansa.
servers,server,no,,standalone,No supported inflection rule safely maps this word to server.
growing,grow,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside grow.
hearing,hear,yes,NN|VBG,standalone,WordNet records an independent sense alongside hear.
signed,sign,yes,VBD|JJ|VBN,standalone,WordNet records an independent sense alongside sign.
steps,step,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside step.
informed,inform,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside inform.
sorted,sort,yes,VBN|VBD,standalone,WordNet records an independent sense alongside sort.
tours,tour,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside tour.
nursing,nurse,yes,NN|VBG,standalone,WordNet records an independent sense alongside nurse.
covered,cover,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside cover.
finding,find,yes,VBG|NN,standalone,WordNet records an independent sense alongside find.
saying,say,yes,VBG|NN,standalone,WordNet records an independent sense alongside say.
affairs,affair,yes,NNS,standalone,WordNet records an independent sense alongside affair.
intended,intend,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside intend.
talking,talk,yes,VBG|NN,standalone,WordNet records an independent sense alongside talk.
racing,race,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside race.
missing,miss,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside miss.
moved,move,yes,VBD|VBN,standalone,WordNet records an independent sense alongside move.
extended,extend,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside extend.
opening,open,yes,NN|VBG|JJ,standalone,WordNet records an independent sense alongside open.
placed,place,yes,VBN|VBD,standalone,WordNet records an independent sense alongside place.
printing,print,yes,NN|VBG,standalone,WordNet records an independent sense alongside print.
owned,own,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside own.
played,play,yes,VBD|VBN,standalone,WordNet records an independent sense alongside play.
matching,match,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside match.
offering,offer,yes,NN|VBG,standalone,WordNet records an independent sense alongside offer.
leaders,leader,yes,NNS,standalone,WordNet records an independent sense alongside leader.
parking,park,yes,NN|JJ|VBG,standalone,WordNet records an independent sense alongside park.
lighting,light,yes,NN|VBG,standalone,WordNet records an independent sense alongside light.
turned,turn,yes,VBD|VBN,standalone,WordNet records an independent sense alongside turn.
tried,try,yes,VBD|JJ|VBN,standalone,WordNet records an independent sense alongside try.
named,name,no,VBN|VBD|JJ,standalone,Past-tense form has an independent lexical role alongside name.
earlier,early,yes,RBR|JJR|JJ|NN|RB,standalone,WordNet records an independent sense alongside early.
evening,even,yes,NN|VBG,standalone,WordNet records an independent sense alongside even.
issued,issue,no,VBN|VBD|JJ,standalone,Past-tense form has an independent lexical role alongside issue.
falls,fall,yes,VBZ|NNS,standalone,WordNet records an independent sense alongside fall.
stated,state,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside state.
decided,decide,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside decide.
binding,bind,yes,NN|JJ|VBG,standalone,WordNet records an independent sense alongside bind.
ended,end,yes,VBD|JJ|VB|VBN,standalone,WordNet records an independent sense alongside end.
winning,win,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside win.
prepared,prepare,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside prepare.
dining,din,yes,NN|JJ|VBG,standalone,WordNet records an independent sense alongside din.
credits,credit,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside credit.
changing,change,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside change.
forgot,forget,no,,standalone,No supported inflection rule safely maps this word to forget.
handling,handle,yes,NN|VBG,standalone,WordNet records an independent sense alongside handle.
gaming,game,yes,NN,standalone,WordNet records an independent sense alongside game.
faster,fast,yes,RBR|JJR|RB,standalone,WordNet records an independent sense alongside fast.
followed,follow,no,VBD|JJ|VBN,standalone,Past-tense form has an independent lexical role alongside follow.
broken,break,yes,VBN|JJ,standalone,WordNet records an independent sense alongside break.
shared,share,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside share.
bytes,byte,no,,standalone,No supported inflection rule safely maps this word to byte.
forced,force,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside force.
managed,manage,no,VBD|VBN|JJ,standalone,Past-tense form has an independent lexical role alongside manage.
failed,fail,no,VBD|VBN|JJ,standalone,Past-tense form has an independent lexical role alongside fail.
banks,bank,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside bank.
assets,asset,yes,NNS,standalone,WordNet records an independent sense alongside asset.
married,marry,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside marry.
sharing,share,yes,VBG|NN,standalone,WordNet records an independent sense alongside share.
waiting,wait,yes,VBG|NN|JJ,standalone,WordNet records an independent sense alongside wait.
banking,bank,yes,NN|JJ|VBG,standalone,WordNet records an independent sense alongside bank.
calling,call,yes,VBG|NN,standalone,WordNet records an independent sense alongside call.
serving,serve,yes,VBG|NN,standalone,WordNet records an independent sense alongside serve.
comics,comic,no,,standalone,No supported inflection rule safely maps this word to comic.
breaking,break,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside break.
combined,combine,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside combine.
wales,wale,yes,,standalone,WordNet records an independent sense alongside wale.
noted,note,yes,VBD|JJ|VBN,standalone,WordNet records an independent sense alongside note.
reduced,reduce,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside reduce.
physics,physic,yes,NN|NNS,standalone,WordNet records an independent sense alongside physic.
spent,spend,yes,VBD|JJ|VBN,standalone,WordNet records an independent sense alongside spend.
removed,remove,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside remove.
singles,single,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside single.
cleaning,clean,yes,NN|VBG,standalone,WordNet records an independent sense alongside clean.
rings,ring,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside ring.
meaning,mean,yes,NN|VBG,standalone,WordNet records an independent sense alongside mean.
agreed,agree,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside agree.
posting,post,yes,VBG|NN,standalone,WordNet records an independent sense alongside post.
viewing,view,yes,VBG|NN,standalone,WordNet records an independent sense alongside view.
seeking,seek,yes,VBG,standalone,WordNet records an independent sense alongside seek.
inches,inch,no,NNS|NN|VBZ,standalone,Plural form has an independent lexical role alongside inch.
shares,share,no,NNS|NN|VBZ,standalone,Plural form has an independent lexical role alongside share.
standing,stand,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside stand.
colors,color,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside color.
ordering,order,yes,VBG|NN,standalone,WordNet records an independent sense alongside order.
smoking,smoke,yes,NN|VBG,standalone,WordNet records an independent sense alongside smoke.
improved,improve,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside improve.
gambling,gamble,yes,NN|VBG,standalone,WordNet records an independent sense alongside gamble.
babes,babe,no,,standalone,No supported inflection rule safely maps this word to babe.
printed,print,no,VBN|VBD|JJ,standalone,Past-tense form has an independent lexical role alongside print.
easier,easy,no,JJR|RBR|RB,standalone,Comparison form has an independent lexical role alongside easy.
printers,printer,no,,standalone,No supported inflection rule safely maps this word to printer.
adding,add,no,VBG|NN,standalone,Participle has an independent lexical role alongside add.
revised,revise,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside revise.
amazing,amaze,yes,JJ,standalone,WordNet records an independent sense alongside amaze.
suites,suit|suite,no,NNS,target-excluded,"Ambiguous lemmas: suit, suite."
feeling,feel,yes,NN|VBG,standalone,WordNet records an independent sense alongside feel.
hidden,hide,yes,VBN|JJ,standalone,WordNet records an independent sense alongside hide.
seeing,see,yes,VBG,standalone,WordNet records an independent sense alongside see.
licensed,license,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside license.
specs,spec,yes,,standalone,WordNet records an independent sense alongside spec.
recorded,record,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside record.
finished,finish,yes,VBD|JJ|VB|VBN,standalone,WordNet records an independent sense alongside finish.
parks,park,yes,NNS,standalone,WordNet records an independent sense alongside park.
stations,station,yes,NNS,standalone,WordNet records an independent sense alongside station.
greatest,great,yes,JJS,standalone,WordNet records an independent sense alongside great.
mixed,mix,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside mix.
tracking,track,yes,VBG|NN,standalone,WordNet records an independent sense alongside track.
keeping,keep,yes,VBG|NN,standalone,WordNet records an independent sense alongside keep.
managing,manage,no,VBG|JJ|NN,standalone,Participle has an independent lexical role alongside manage.
walking,walk,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside walk.
smaller,small,yes,JJR|RBR,standalone,WordNet records an independent sense alongside small.
newest,new,no,,standalone,No supported inflection rule safely maps this word to new.
lesbians,lesbian,no,,standalone,No supported inflection rule safely maps this word to lesbian.
modules,module,no,,standalone,No supported inflection rule safely maps this word to module.
holding,hold,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside hold.
assigned,assign,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside assign.
raised,raise,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside raise.
directed,direct,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside direct.
sporting,sport,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside sport.
helping,help,yes,VBG|NN,standalone,WordNet records an independent sense alongside help.
affected,affect,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside affect.
hosted,host,no,VBN|JJ|VBD,standalone,Past-tense form has an independent lexical role alongside host.
leaving,leave,yes,VBG|NN,standalone,WordNet records an independent sense alongside leave.
cooking,cook,yes,NN|VBG|JJ,standalone,WordNet records an independent sense alongside cook.
speaking,speak,yes,VBG|NN,standalone,WordNet records an independent sense alongside speak.
checking,check,no,VBG|NN,standalone,Participle has an independent lexical role alongside check.
observed,observe,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside observe.
booking,book,yes,NN|VBG,standalone,WordNet records an independent sense alongside book.
filled,fill,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside fill.
channels,channel,yes,NNS,standalone,WordNet records an independent sense alongside channel.
blues,blue,yes,NNS|JJ,standalone,WordNet records an independent sense alongside blue.
learned,learn,yes,VBD|VBN|JJ|NN,standalone,WordNet records an independent sense alongside learn.
attached,attach,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside attach.
opened,open,yes,VBD|VBN,standalone,WordNet records an independent sense alongside open.
disabled,disable,yes,JJ|NN|VBN,standalone,WordNet records an independent sense alongside disable.
scores,score,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside score.
adopted,adopt,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside adopt.
edited,edit,yes,VBN|VBD,standalone,WordNet records an independent sense alongside edit.
linked,link,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside link.
alerts,alert,no,,standalone,No supported inflection rule safely maps this word to alert.
treated,treat,yes,VBN|VBD,standalone,WordNet records an independent sense alongside treat.
leaves,leaf|leave,no,VBZ|JJ|NNS,target-excluded,"Ambiguous lemmas: leaf, leave."
becoming,become,yes,VBG|NN,standalone,WordNet records an independent sense alongside become.
tested,test,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside test.
bound,bind,yes,VBN|JJ|NN|VBD,standalone,WordNet records an independent sense alongside bind.
laptops,laptop,no,,standalone,No supported inflection rule safely maps this word to laptop.
threads,thread,yes,NNS,standalone,WordNet records an independent sense alongside thread.
painting,paint,yes,NN|VBG,standalone,WordNet records an independent sense alongside paint.
eating,eat,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside eat.
planned,plan,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside plan.
watching,watch,yes,VBG|NN,standalone,WordNet records an independent sense alongside watch.
sessions,session,yes,NNS,standalone,WordNet records an independent sense alongside session.
stocks,stock,yes,NNS|VBZ|RB,standalone,WordNet records an independent sense alongside stock.
charged,charge,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside charge.
chosen,choose,yes,VBN|JJ,standalone,WordNet records an independent sense alongside choose.
saving,save,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside save.
visiting,visit,yes,VBG|JJ,standalone,WordNet records an independent sense alongside visit.
findings,finding,yes,NNS,standalone,WordNet records an independent sense alongside finding.
clicking,click,no,VBG|NN,standalone,Participle has an independent lexical role alongside click.
polls,poll,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside poll.
sending,send,yes,VBG|NN,standalone,WordNet records an independent sense alongside send.
swimming,swim,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside swim.
alumni,alumnus,no,,standalone,No supported inflection rule safely maps this word to alumnus.
drawing,draw,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside draw.
ordered,order,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside order.
fighting,fight,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside fight.
focused,focus,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside focus.
asking,ask,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside ask.
hunting,hunt,yes,NN|VBG,standalone,WordNet records an independent sense alongside hunt.
cutting,cut,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside cut.
marks,mark,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside mark.
loved,love,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside love.
mapping,map,yes,NN|VBG,standalone,WordNet records an independent sense alongside map.
indexed,index,no,VBN|JJ,standalone,Past-tense form has an independent lexical role alongside index.
saved,save,yes,VBN|VBD,standalone,WordNet records an independent sense alongside save.
paying,pay,yes,VBG|JJ,standalone,WordNet records an independent sense alongside pay.
granted,grant,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside grant.
spending,spend,yes,NN|JJ|VBG,standalone,WordNet records an independent sense alongside spend.
employed,employ,yes,VBN|VBD,standalone,WordNet records an independent sense alongside employ.
formed,form,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside form.
bidding,bid,yes,NN|VBG|JJ,standalone,WordNet records an independent sense alongside bid.
stands,stand,no,VBZ|NNS|NN,standalone,Plural form has an independent lexical role alongside stand.
editing,edit,yes,NN|VBG,standalone,WordNet records an independent sense alongside edit.
voting,vote,yes,NN|JJ|VBG,standalone,WordNet records an independent sense alongside vote.
flashing,flash,yes,VBG|NN,standalone,WordNet records an independent sense alongside flash.
sitting,sit,yes,VBG|NN,standalone,WordNet records an independent sense alongside sit.
putting,put,yes,VBG,standalone,WordNet records an independent sense alongside put.
missed,miss,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside miss.
willing,will,yes,JJ|VBG,standalone,WordNet records an independent sense alongside will.
acting,act,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside act.
logos,logo,yes,,standalone,WordNet records an independent sense alongside logo.
antiques,antique,no,,standalone,No supported inflection rule safely maps this word to antique.
amended,amend,yes,VBN|VBD,standalone,WordNet records an independent sense alongside amend.
drinking,drink,yes,NN|JJ|VBG,standalone,WordNet records an independent sense alongside drink.
